id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
5952,CDS,cde_fo,GBPINR,8243,OPTCUR,CE,106,GBPINR29MAY23106CE,GBPINR23MAY106CE,GBPINR 29MAY23 106 CE,29-05-2023,1,0.0025,106,,106
5953,CDS,cde_fo,GBPINR,8244,OPTCUR,PE,106,GBPINR29MAY23106PE,GBPINR23MAY106PE,GBPINR 29MAY23 106 PE,29-05-2023,1,0.0025,106,,106
5954,CDS,cde_fo,GBPINR,8245,OPTCUR,PE,98.25,GBPINR26MAY2398.25PE,GBPINR2352698.25PE,GBPINR 26MAY23 98.25 PE,26-05-2023,1,0.0025,98,25,98.25
5955,CDS,cde_fo,GBPINR,8246,OPTCUR,CE,98.5,GBPINR26MAY2398.5CE,GBPINR2352698.5CE,GBPINR 26MAY23 98.5 CE,26-05-2023,1,0.0025,98,5,98.5
5956,CDS,cde_fo,GBPINR,8247,OPTCUR,PE,98.5,GBPINR26MAY2398.5PE,GBPINR2352698.5PE,GBPINR 26MAY23 98.5 PE,26-05-2023,1,0.0025,98,5,98.5
5957,CDS,cde_fo,GBPINR,8248,OPTCUR,CE,98.75,GBPINR26MAY2398.75CE,GBPINR2352698.75CE,GBPINR 26MAY23 98.75 CE,26-05-2023,1,0.0025,98,75,98.75
5958,CDS,cde_fo,GBPINR,8249,OPTCUR,PE,98.75,GBPINR26MAY2398.75PE,GBPINR2352698.75PE,GBPINR 26MAY23 98.75 PE,26-05-2023,1,0.0025,98,75,98.75
5959,CDS,cde_fo,GBPINR,8250,OPTCUR,CE,106.25,GBPINR29MAY23106.25CE,GBPINR23MAY106.25CE,GBPINR 29MAY23 106.25 CE,29-05-2023,1,0.0025,106,25,106.25
5960,CDS,cde_fo,GBPINR,8251,OPTCUR,PE,106.25,GBPINR29MAY23106.25PE,GBPINR23MAY106.25PE,GBPINR 29MAY23 106.25 PE,29-05-2023,1,0.0025,106,25,106.25
5961,CDS,cde_fo,GBPUSD,8252,OPTCUR,CE,1.335,GBPUSD29MAY231.335CE,GBPUSD23MAY1.335CE,GBPUSD 29MAY23 1.335 CE,29-05-2023,1,0.0001,1,335,1.335
5962,CDS,cde_fo,GBPUSD,8253,OPTCUR,PE,1.335,GBPUSD29MAY231.335PE,GBPUSD23MAY1.335PE,GBPUSD 29MAY23 1.335 PE,29-05-2023,1,0.0001,1,335,1.335
5963,CDS,cde_fo,USDINR,8254,OPTCUR,CE,88.5,USDINR26MAY2388.5CE,USDINR2352688.5CE,USDINR 26MAY23 88.5 CE,26-05-2023,1,0.0025,88,5,88.5
5964,CDS,cde_fo,USDINR,8255,OPTCUR,PE,88.5,USDINR26MAY2388.5PE,USDINR2352688.5PE,USDINR 26MAY23 88.5 PE,26-05-2023,1,0.0025,88,5,88.5
5965,CDS,cde_fo,JPYINR,8256,OPTCUR,CE,68,JPYINR12MAY2368CE,JPYINR2351268CE,JPYINR 12MAY23 68 CE,12-05-2023,1,0.0025,68,,68
5966,CDS,cde_fo,JPYINR,8257,OPTCUR,PE,68,JPYINR12MAY2368PE,JPYINR2351268PE,JPYINR 12MAY23 68 PE,12-05-2023,1,0.0025,68,,68
5967,CDS,cde_fo,EURINR,8258,OPTCUR,CE,94.5,EURINR02JUNE2394.5CE,EURINR2360294.5CE,EURINR 02JUN23 94.5 CE,02-06-2023,1,0.0025,94,5,94.5
5968,CDS,cde_fo,EURINR,8259,OPTCUR,PE,94.5,EURINR02JUNE2394.5PE,EURINR2360294.5PE,EURINR 02JUN23 94.5 PE,02-06-2023,1,0.0025,94,5,94.5
5969,CDS,cde_fo,EURINR,8260,OPTCUR,CE,94.75,EURINR02JUNE2394.75CE,EURINR2360294.75CE,EURINR 02JUN23 94.75 CE,02-06-2023,1,0.0025,94,75,94.75
5970,CDS,cde_fo,EURINR,8261,OPTCUR,PE,94.75,EURINR02JUNE2394.75PE,EURINR2360294.75PE,EURINR 02JUN23 94.75 PE,02-06-2023,1,0.0025,94,75,94.75
5971,CDS,cde_fo,EURINR,8262,OPTCUR,CE,95,EURINR02JUNE2395CE,EURINR2360295CE,EURINR 02JUN23 95 CE,02-06-2023,1,0.0025,95,,95
5972,CDS,cde_fo,JPYINR,8263,OPTCUR,CE,58.5,JPYINR28APRIL2358.5CE,JPYINR2342858.5CE,JPYINR 28APR23 58.5 CE,28-04-2023,1,0.0025,58,5,58.5
